code,change,authority,2009/10,2018/19,text,percent_change
E06000023,rise,Bristol,28.1,42.8,52%,52.2
E06000056,rise,Central Bedfordshire,2.8,3.9,38%,38.5
E06000041,rise,Wokingham,2.0,2.8,38%,38.2
E06000037,rise,West Berkshire,2.3,3.2,38%,37.7
E06000038,rise,Reading,16.5,22.5,36%,36.1
E06000022,rise,Bath & NE Somerset,11.4,14.8,30%,29.9
E06000025,rise,South Gloucestershire,7.3,9.3,28%,28.2
E06000029,rise,Poole,7.7,9.8,27%,26.5
E06000034,rise,Thurrock,3.8,4.8,26%,26.3
E10000017,fall,Lancashire,61.3,41.9,-32%,-31.7
E06000049,fall,Cheshire East,5.5,3.7,-32%,-32.4
E10000034,fall,Worcestershire,15.9,10.5,-34%,-34.3
E06000019,fall,Herefordshire,3.1,2.1,-35%,-34.7
E10000027,fall,Somerset,9.8,6.3,-35%,-35.2
E06000020,fall,Telford & Wrekin,5.8,3.7,-36%,-35.6
E06000003,fall,Redcar and Cleveland,5.7,3.6,-36%,-36.1
E06000040,fall,Windsor & Maidenhead,2.3,1.4,-38%,-38.2
E06000021,fall,Stoke-on-Trent,15.6,9.3,-41%,-40.6
E06000007,fall,Warrington,10.8,5.6,-48%,-48.5
